Date,Time,Location,Weather,Bird Species,Notes,Count,Sex,Comments,corrected_name,name,id
,,,,Red wattled Lapwing,,,,,Red-wattled Lapwing,Red-wattled Lapwing - Vanellus indicus,rewlap1
,,,,small blue kingfisher,,,,,Small Blue Kingfisher,Common Kingfisher (Small Blue Kingfisher) - Alcedo atthis,comkin1
,,,,Warbler,,,,,Warbler,Blyth's Reed Warbler - Acrocephalus dumetorum,blrwar1
,,,,white browed bulbul,,,,,White-browed Bulbul,White-browed Bulbul - Pycnonotus luteolus,whbbul2
,,,,pied kingfisher,,,,,Pied Kingfisher,Pied Kingfisher - Ceryle rudis,piekin1
,,,,blue rock pigeon,,,,,Blue Rock Pigeon,Rock Pigeon (Blue Rock Pigeon) - Columba livia,rocpig
,,,,common myna,,,,,Common Myna,Common Myna - Acridotheres tristis,commyn
,,,,coucal,,,,,coucal,Greater Coucal - Centropus sinensis,grecou1
,,,,spotted munia,,,,,Spotted Munia,Scaly-breasted Munia (Spotted Munia) - Lonchura punctulata,nutman
,,,,swallow,,,,,Swallow,Red-rumped Swallow - Cecropis daurica,rerswa1
,,,,taylor bird,,,,,Tailorbird,Common Tailorbird - Orthotomus sutorius,comtai1
,,,,house crow,,,,,House Crow,House Crow - Corvus splendens,houcro1
,,,,jungle crow,,,,,Jungle Crow,Large-billed Crow (Indian Jungle) - Corvus macrorhynchos culminatus,
,,,,Pariah kite,,,,,Pariah Kite,Black Kite - Milvus migrans,blakit1
,4:20 pm – 6:00 pm,,Clear Sky,red whiskered bulbul,,,,Pair,Red-whiskered Bulbul,Red-whiskered Bulbul - Pycnonotus jocosus,rewbul
,,,,White Headed Babbler,,,,,White-headed babbler,Yellow-billed Babbler - Argya affinis,yebbab1
,,,,purple rumped sunbird,,,,,Purple-rumped Sunbird,Purple-rumped Sunbird - Leptocoma zeylonica,pursun3
,,,,koel,,,,,Koel,Asian Koel - Eudynamys scolopaceus,asikoe2
,,,,Coucal,heard,,,,Coucal,Greater Coucal - Centropus sinensis,grecou1
,,,,spotted dove,,,,,Spotted Dove,Spotted Dove - Spilopelia chinensis,spodov
,,,,grey drongo,,,,,grey drongo,Ashy Drongo - Dicrurus leucophaeus,ashdro1
,,,,purple sunbird,,,,,Purple Sunbird,Purple-rumped Sunbird - Leptocoma zeylonica,pursun3
,,,,Rose Ringed Parakeet,,,,,Rose-ringed Parakeet,Rose-ringed Parakeet - Psittacula krameri,rorpar
,,,,small green bee eater,,,,,Small Green Bee-eater,Asian Green Bee-eater - Merops orientalis,grnbee3
,,,,little minivet,,,,,Little Minivet,Small Minivet - Pericrocotus cinnamomeus,smamin1
,,,,iora,,,,,Iora,Common Iora - Aegithina tiphia,comior1
,,,,blck headed cuckoo shrike,,,,,Black-headed Cuckoo Shrike,Black-headed Cuckooshrike - Lalage melanoptera,bkhcus1
,,,,indian cuckoo,,,,,Indian Cuckoo,Indian Cuckoo - Cuculus micropterus,indcuc1
,,,,taylor bird,,,,,Tailorbird,Common Tailorbird - Orthotomus sutorius,comtai1
,,,,white breasted kingfisher,heard,,,,White-breasted Kingfisher,White-throated Kingfisher - Halcyon smyrnensis,whtkin2
,,,,pond heron,,,,,Pond Heron,Indian Pond-Heron - Ardeola grayii,inpher1
,,,,Red wattled Lapwing,,,,,Red-wattled Lapwing,Red-wattled Lapwing - Vanellus indicus,rewlap1
,,,,hair creasted drongo,,,,,Hair-crested Drongo,Hair-crested Drongo (Spangled Drongo) - Dicrurus hottentottus,hacdro1
,,,,pied wagtail,,,,,Pied Wagtail,White-browed Wagtail (Large Pied Wagtail) - Motacilla maderaspatensis,whbwag1
,,,,red flower pecker,,,,,Red-flowered Sunbird,,
,,,,little brown dove,,,,,Little Brown Dove,Laughing Dove (Little Brown Dove) - Spilopelia senegalensis,laudov1
,,,,roufous bellied babbler,,,,,Rufous-bellied Babbler,Tawny-bellied Babbler - Dumetia hyperythra,tabbab1
,,,,golden black kingfisher?,,,,,golden black kingfisher,,
,,,,White breasted water hen,,,,,White-breasted waterhen,White-breasted Waterhen - Amaurornis phoenicurus,whbwat1
,,,,jungle babbler,,,,,Jungle Babbler,Jungle Babbler - Argya striata,junbab2
,,,,myna,,,,,Myna,Common Myna - Acridotheres tristis,commyn
,,,,paradise fly catcher,,,,,Paradise Flycatcher,Indian Paradise-Flycatcher - Terpsiphone paradisi,aspfly1
,,,,dabchick,,,,,dabchick,Little Grebe - Tachybaptus ruficollis,litgre1
,,,,tree pie,,,,,Treepie,Rufous Treepie - Dendrocitta vagabunda,ruftre2
,,Sumavanam,Clear Sky,pariah kite,,,,,Pariah Kite,Black Kite - Milvus migrans,blakit1
,,,,Black Drongo,,,,,Black Drongo,Black Drongo - Dicrurus macrocercus,bladro1
,,,,purple sunbird,,,,,Purple Sunbird,Purple-rumped Sunbird - Leptocoma zeylonica,pursun3
,,,,red vented bulbul,,,,,Red-vented Bulbul,Red-vented Bulbul - Pycnonotus cafer,revbul
,,,,marsh harrier,,,,,Marsh Harrier,Western Marsh Harrier - Circus aeruginosus,wemhar1
,,,,myna,,,,,Myna,Common Myna - Acridotheres tristis,commyn
